  1/195 Test   #1: python_tests ..............................***Failed  134.55 sec
 95/195 Test  #95: momentum_cluster_periodic_np2 .............   Passed    0.61 sec
 96/195 Test  #96: momentum_cluster_jacobi_np2 ...............   Passed    0.70 sec
 97/195 Test  #97: momentum_cluster_np4 ......................   Passed    0.62 sec
 98/195 Test  #98: momentum_cluster_friction_np4 .............   Passed    0.70 sec
 99/195 Test  #99: momentum_cluster_pgs_np4 ..................   Passed    0.66 sec
100/195 Test #100: momentum_cluster_posonly_np4 ..............   Passed    0.71 sec
101/195 Test #101: momentum_hertz_np4 ........................   Passed    0.65 sec
102/195 Test #102: momentum_cluster_sync3_np4 ................   Passed    0.66 sec
103/195 Test #103: momentum_cluster_norot_np4 ................   Passed    0.70 sec
104/195 Test #104: momentum_cluster_periodic_np4 .............   Passed    0.67 sec
105/195 Test #105: momentum_cluster_jacobi_np4 ...............   Passed    0.82 sec
106/195 Test #106: momentum_cluster_np8 ......................   Passed    0.75 sec
107/195 Test #107: momentum_cluster_friction_np8 .............   Passed    0.75 sec
108/195 Test #108: momentum_cluster_pgs_np8 ..................   Passed    0.75 sec
109/195 Test #109: momentum_cluster_posonly_np8 ..............   Passed    0.80 sec
110/195 Test #110: momentum_hertz_np8 ........................   Passed    0.58 sec
111/195 Test #111: momentum_cluster_sync3_np8 ................   Passed    0.71 sec
112/195 Test #112: momentum_cluster_norot_np8 ................   Passed    0.79 sec
113/195 Test #113: momentum_cluster_periodic_np8 .............   Passed    0.71 sec
114/195 Test #114: momentum_cluster_jacobi_np8 ...............   Passed    0.76 sec
115/195 Test #115: ownership_reverse_closed_np1 ..............   Passed    0.34 sec
116/195 Test #116: ownership_reverse_periodic_np1 ............   Passed    0.34 sec
117/195 Test #117: ownership_exactly_once_closed_np1 .........   Passed    0.46 sec
118/195 Test #118: ownership_exactly_once_periodic_np1 .......   Passed    0.47 sec
119/195 Test #119: ownership_exactly_once_drift_np1 ..........   Passed    0.46 sec
120/195 Test #120: ownership_reverse_closed_np2 ..............   Passed    0.34 sec
121/195 Test #121: ownership_reverse_periodic_np2 ............   Passed    0.36 sec
122/195 Test #122: ownership_exactly_once_closed_np2 .........   Passed    0.47 sec
123/195 Test #123: ownership_exactly_once_periodic_np2 .......   Passed    0.47 sec
124/195 Test #124: ownership_exactly_once_drift_np2 ..........   Passed    0.47 sec
125/195 Test #125: ownership_reverse_closed_np4 ..............   Passed    0.37 sec
126/195 Test #126: ownership_reverse_periodic_np4 ............   Passed    0.35 sec
127/195 Test #127: ownership_exactly_once_closed_np4 .........   Passed    0.49 sec
128/195 Test #128: ownership_exactly_once_periodic_np4 .......   Passed    0.51 sec
129/195 Test #129: ownership_exactly_once_drift_np4 ..........   Passed    0.48 sec
130/195 Test #130: ownership_reverse_closed_np8 ..............   Passed    0.36 sec
131/195 Test #131: ownership_reverse_periodic_np8 ............   Passed    0.37 sec
132/195 Test #132: ownership_exactly_once_closed_np8 .........   Passed    0.55 sec
133/195 Test #133: ownership_exactly_once_periodic_np8 .......   Passed    0.53 sec
134/195 Test #134: ownership_exactly_once_drift_np8 ..........   Passed    0.52 sec
135/195 Test #135: followup_hub_np1 ..........................   Passed    0.59 sec
136/195 Test #136: followup_hub_posonly_np1 ..................   Passed    0.92 sec
137/195 Test #137: followup_hub_np2 ..........................   Passed    0.53 sec
138/195 Test #138: followup_hub_posonly_np2 ..................   Passed    0.58 sec
139/195 Test #139: followup_hub_np4 ..........................   Passed    0.54 sec
140/195 Test #140: followup_hub_posonly_np4 ..................   Passed    0.63 sec
141/195 Test #141: followup_friction_pair_np1 ................   Passed    0.34 sec
142/195 Test #142: followup_friction_pair_pgs_np1 ............   Passed    0.35 sec
143/195 Test #143: followup_missed_drift_pair_np1 ............   Passed    0.33 sec
144/195 Test #144: followup_missed_periodic_np1 ..............   Passed    0.46 sec
145/195 Test #145: followup_missed_drift_pair_np2 ............   Passed    0.34 sec
146/195 Test #146: followup_missed_periodic_np2 ..............   Passed    0.48 sec
147/195 Test #147: followup_missed_drift_pair_np4 ............   Passed    0.36 sec
148/195 Test #148: followup_missed_periodic_np4 ..............   Passed    0.49 sec
149/195 Test #149: followup_missed_drift_pair_np8 ............   Passed    0.39 sec
150/195 Test #150: followup_missed_periodic_np8 ..............   Passed    0.54 sec
151/195 Test #151: followup_missed_drift_lattice_np4 .........   Passed    1.13 sec
152/195 Test #152: followup_cluster_e09_np1 ..................   Passed    0.51 sec
153/195 Test #153: followup_cluster_e10_np1 ..................   Passed    0.47 sec
154/195 Test #154: followup_cluster_poisson_np1 ..............   Passed    0.69 sec
155/195 Test #155: followup_cluster_multilevel_np1 ...........   Passed    0.58 sec
156/195 Test #156: followup_cluster_escalate_np1 .............   Passed    0.57 sec
157/195 Test #157: followup_cluster_ordered_np1 ..............   Passed    0.64 sec
158/195 Test #158: followup_cluster_onesided_np1 .............   Passed    0.58 sec
159/195 Test #159: followup_hub_pgs_np1 ......................   Passed    0.60 sec
160/195 Test #160: followup_ring_mini_np1 ....................   Passed    0.46 sec
161/195 Test #161: followup_cluster_e09_np2 ..................   Passed    0.51 sec
162/195 Test #162: followup_cluster_e10_np2 ..................   Passed    0.54 sec
163/195 Test #163: followup_cluster_poisson_np2 ..............   Passed    0.64 sec
164/195 Test #164: followup_cluster_multilevel_np2 ...........   Passed    0.64 sec
165/195 Test #165: followup_cluster_escalate_np2 .............   Passed    0.62 sec
166/195 Test #166: followup_cluster_ordered_np2 ..............   Passed    0.74 sec
167/195 Test #167: followup_cluster_onesided_np2 .............   Passed    0.64 sec
168/195 Test #168: followup_hub_pgs_np2 ......................   Passed    0.57 sec
169/195 Test #169: followup_ring_mini_np2 ....................   Passed    0.44 sec
170/195 Test #170: followup_cluster_e09_np4 ..................   Passed    0.57 sec
171/195 Test #171: followup_cluster_e10_np4 ..................   Passed    0.57 sec
172/195 Test #172: followup_cluster_poisson_np4 ..............   Passed    0.66 sec
173/195 Test #173: followup_cluster_multilevel_np4 ...........   Passed    0.62 sec
174/195 Test #174: followup_cluster_escalate_np4 .............   Passed    0.69 sec
175/195 Test #175: followup_cluster_ordered_np4 ..............   Passed    0.66 sec
176/195 Test #176: followup_cluster_onesided_np4 .............   Passed    0.69 sec
177/195 Test #177: followup_hub_pgs_np4 ......................   Passed    0.51 sec
178/195 Test #178: followup_ring_mini_np4 ....................   Passed    0.40 sec
179/195 Test #179: followup_tri_np1 ..........................   Passed    0.34 sec
180/195 Test #180: followup_tri_pgs_np1 ......................   Passed    0.33 sec
181/195 Test #181: followup_tri_np2 ..........................   Passed    0.34 sec
182/195 Test #182: followup_tri_pgs_np2 ......................   Passed    0.35 sec
183/195 Test #183: followup_oracle_closed_np1 ................   Passed    2.04 sec
184/195 Test #184: followup_oracle_shear_np1 .................   Passed    1.63 sec
185/195 Test #185: followup_oracle_periodic_np1 ..............   Passed    2.74 sec
186/195 Test #186: followup_oracle_closed_np2 ................   Passed    2.07 sec
187/195 Test #187: followup_oracle_shear_np2 .................   Passed    1.73 sec
188/195 Test #188: followup_oracle_periodic_np2 ..............   Passed    2.17 sec
189/195 Test #189: followup_oracle_closed_np4 ................   Passed    2.05 sec
190/195 Test #190: followup_oracle_shear_np4 .................   Passed    1.68 sec
191/195 Test #191: followup_oracle_periodic_np4 ..............   Passed    1.96 sec
192/195 Test #192: followup_oracle_closed_np8 ................   Passed    1.90 sec
193/195 Test #193: followup_oracle_shear_np8 .................   Passed    2.43 sec
194/195 Test #194: followup_oracle_periodic_np8 ..............   Passed    2.02 sec
195/195 Test #195: align_np8 .................................   Passed    0.41 sec
98% tests passed, 3 tests failed out of 195
Total Test time (real) = 608.36 sec
AssertionError
AssertionError: wrap-contact straddlers disagree with serial
E       AssertionError: (0.14999961853027344, -0.14999961853027344, -0.09999990463256836, 0.09999990463256836)
FAILED ../tests/python/test_periodic_wrap_symmetry.py::test_wrap_pair_matches_in_box_pair
np=2: [2-body wrap, axis x] start sep 0.6 -> serial 0.9000, dist 0.8000 (diameter 0.8)
np=4: [corner wrap, axes xy] start diag sep 0.707 -> serial 0.8464, dist 0.8000 (diameter 0.8)
../tests/python/test_periodic_wrap_symmetry.py:59: AssertionError
